title,description,director,year,actors,categories
Arrival,"title: Arrival ,Description: When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.",Denis Villeneuve,2016,"['amy adams', ' jeremy renner', ' forest whitaker', 'michael stuhlbarg']","['drama', 'mystery', 'sci-fi']"
Gold,"title: Gold ,Description: Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.",Stephen Gaghan,2016,"['matthew mcconaughey', ' edgar ramírez', ' bryce dallas howard', ' corey stoll']","['adventure', 'drama', 'thriller']"
Manchester by the Sea,"title: Manchester by the Sea ,Description: A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.",Kenneth Lonergan,2016,"['casey affleck', ' michelle williams', ' kyle chandler', 'lucas hedges']",['drama']
Hounds of Love,"title: Hounds of Love ,Description: A cold-blooded predatory couple while cruising the streets in search of their next victim, will stumble upon a 17-year-old high school girl, who will be sedated, abducted and chained in the strangers' guest room.",Ben Young,2016,"['emma booth', ' ashleigh cummings', ' stephen curry', 'susie porter']","['crime', 'drama', 'horror']"
Trolls,"title: Trolls ,Description: After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",Walt Dohrn,2016,"['anna kendrick', ' justin timberlake', 'zooey deschanel', ' christopher mintz-plasse']","['animation', 'adventure', 'comedy']"
Independence Day: Resurgence,"title: Independence Day: Resurgence ,Description: Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",Roland Emmerich,2016,"['liam hemsworth', ' jeff goldblum', ' bill pullman', 'maika monroe']","['action', 'adventure', 'sci-fi']"
Paris pieds nus,"title: Paris pieds nus ,Description: Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing.",Dominique Abel,2016,"['fiona gordon', ' dominique abel', 'emmanuelle riva', ' pierre richard']",['comedy']
Bahubali: The Beginning,"title: Bahubali: The Beginning ,Description: In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.",S.S. Rajamouli,2015,"['prabhas', ' rana daggubati', ' anushka shetty', 'tamannaah bhatia']","['action', 'adventure', 'drama']"
Dead Awake,"title: Dead Awake ,Description: A young woman must save herself and her friends from an ancient evil that stalks its victims through the real-life phenomenon of sleep paralysis.",Phillip Guzman,2016,"['jocelin donahue', ' jesse bradford', ' jesse borrego', 'lori petty']","['horror', 'thriller']"
Bad Moms,"title: Bad Moms ,Description: When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",Jon Lucas,2016,"['mila kunis', ' kathryn hahn', ' kristen bell', 'christina applegate']",['comedy']
Assassin's Creed,"title: Assassin's Creed ,Description: When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society.",Justin Kurzel,2016,"['michael fassbender', ' marion cotillard', ' jeremy irons', 'brendan gleeson']","['action', 'adventure', 'drama']"
Why Him?,"title: Why Him? ,Description: A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.",John Hamburg,2016,"['zoey deutch', ' james franco', ' tangie ambrose', 'cedric the entertainer']",['comedy']
Nocturnal Animals,"title: Nocturnal Animals ,Description: A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",Tom Ford,2016,"['amy adams', ' jake gyllenhaal', ' michael shannon', ' aaron taylor-johnson']","['drama', 'thriller']"
X-Men: Apocalypse,"title: X-Men: Apocalypse ,Description: After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",Bryan Singer,2016,"['james mcavoy', ' michael fassbender', ' jennifer lawrence', ' nicholas hoult']","['action', 'adventure', 'sci-fi']"
Deadpool,"title: Deadpool ,Description: A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.",Tim Miller,2016,"['ryan reynolds', ' morena baccarin', ' t.j. miller', ' ed skrein']","['action', 'adventure', 'comedy']"
Resident Evil: The Final Chapter,"title: Resident Evil: The Final Chapter ,Description: Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",Paul W.S. Anderson,2016,"['milla jovovich', ' iain glen', ' ali larter', ' shawn roberts']","['action', 'horror', 'sci-fi']"
Captain America: Civil War,"title: Captain America: Civil War ,Description: Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.",Anthony Russo,2016,"['chris evans', ' robert downey jr.', 'scarlett johansson', ' sebastian stan']","['action', 'adventure', 'sci-fi']"
Interstellar,"title: Interstellar ,Description: A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",Christopher Nolan,2014,"['matthew mcconaughey', ' anne hathaway', ' jessica chastain', ' mackenzie foy']","['adventure', 'drama', 'sci-fi']"
Doctor Strange,"title: Doctor Strange ,Description: While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",Scott Derrickson,2016,"['benedict cumberbatch', ' chiwetel ejiofor', ' rachel mcadams', ' benedict wong']","['action', 'adventure', 'fantasy']"
The Magnificent Seven,"title: The Magnificent Seven ,Description: Seven gunmen in the old west gradually come together to help a poor village against savage thieves.",Antoine Fuqua,2016,"['denzel washington', ' chris pratt', ' ethan hawke', 'vincent donofrio']","['action', 'adventure', 'western']"
5/25/1977,"title: 5/25/1977 ,Description: Alienated, hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois, falling in love, and becoming the first fan of the movie that changed everything.",Patrick Read Johnson,2007,"['john francis daley', ' austin pendleton', ' colleen camp', ' neil flynn']","['comedy', 'drama']"
Sausage Party,"title: Sausage Party ,Description: A sausage strives to discover the truth about his existence.",Greg Tiernan,2016,"['seth rogen', ' kristen wiig', ' jonah hill', ' alistair abell']","['animation', 'adventure', 'comedy']"
Moonlight,"title: Moonlight ,Description: A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.",Barry Jenkins,2016,"['mahershala ali', ' shariff earp', ' duan sanderson', ' alex r. hibbert']",['drama']
Don't Fuck in the Woods,"title: Don't Fuck in the Woods ,Description: A group of friends are going on a camping trip to celebrate graduating college. But once they enter the woods, the proverbial shit starts to hit the fan.",Shawn Burkett,2016,"['brittany blanton', ' ayse howard', ' roman jossart', 'nadia white']",['horror']
The Founder,"title: The Founder ,Description: The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into one of the biggest restaurant businesses in the world with a combination of ambition, persistence, and ruthlessness.",John Lee Hancock,2016,"['michael keaton', ' nick offerman', ' john carroll lynch', ' linda cardellini']","['biography', 'drama', 'history']"
Lowriders,"title: Lowriders ,Description: A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression.",Ricardo de Montreuil,2016,"['gabriel chavarria', ' demián bichir', ' theo rossi', 'tony revolori']",['drama']
Pirates of the Caribbean: On Stranger Tides,"title: Pirates of the Caribbean: On Stranger Tides ,Description: Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",Rob Marshall,2011,"['johnny depp', ' penélope cruz', ' ian mcshane', ' geoffrey rush']","['action', 'adventure', 'fantasy']"
Miss Sloane,"title: Miss Sloane ,Description: In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.",John Madden,2016,"['jessica chastain', ' mark strong', ' gugu mbatha-raw', 'michael stuhlbarg']","['drama', 'thriller']"
Fallen,"title: Fallen ,Description: A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years.",Scott Hicks,2016,"['hermione corfield', ' addison timlin', ' joely richardson', 'jeremy irvine']","['adventure', 'drama', 'fantasy']"
Star Trek Beyond,"title: Star Trek Beyond ,Description: The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test.",Justin Lin,2016,"['chris pine', ' zachary quinto', ' karl urban', ' zoe saldana']","['action', 'adventure', 'sci-fi']"
The Last Face,"title: The Last Face ,Description: A director (Charlize Theron) of an international aid agency in Africa meets a relief aid doctor (Javier Bardem) amidst a political/social revolution, and together face tough choices ... See full summary »",Sean Penn,2016,"['charlize theron', ' javier bardem', ' adèle exarchopoulos', 'jared harris']",['drama']
Star Wars: Episode VII - The Force Awakens,"title: Star Wars: Episode VII - The Force Awakens ,Description: Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance.",J.J. Abrams,2015,"['daisy ridley', ' john boyega', ' oscar isaac', ' domhnall gleeson']","['action', 'adventure', 'fantasy']"
Underworld: Blood Wars,"title: Underworld: Blood Wars ,Description: Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.",Anna Foerster,2016,"['kate beckinsale', ' theo james', ' tobias menzies', ' lara pulver']","['action', 'adventure', 'fantasy']"
Mother's Day,"title: Mother's Day ,Description: Three generations come together in the week leading up to Mother's Day.",Garry Marshall,2016,"['jennifer aniston', ' kate hudson', ' julia roberts', ' jason sudeikis']","['comedy', 'drama']"
John Wick,"title: John Wick ,Description: An ex-hitman comes out of retirement to track down the gangsters that took everything from him.",Chad Stahelski,2014,"['keanu reeves', ' michael nyqvist', ' alfie allen', ' willem dafoe']","['action', 'crime', 'thriller']"
The Dark Knight,"title: The Dark Knight ,Description: When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice.",Christopher Nolan,2008,"['christian bale', ' heath ledger', ' aaron eckhart', 'michael caine']","['action', 'crime', 'drama']"
Silence,"title: Silence ,Description: In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",Martin Scorsese,2016,"['andrew garfield', ' adam driver', ' liam neeson', 'tadanobu asano']","['adventure', 'drama', 'history']"
Don't Breathe,"title: Don't Breathe ,Description: Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",Fede Alvarez,2016,"['stephen lang', ' jane levy', ' dylan minnette', ' daniel zovatto']","['crime', 'horror', 'thriller']"
Me Before You,"title: Me Before You ,Description: A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.",Thea Sharrock,2016,"['emilia clarke', ' sam claflin', ' janet mcteer', ' charles dance']","['drama', 'romance']"
Their Finest,"title: Their Finest ,Description: A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them.",Lone Scherfig,2016,"['gemma arterton', ' sam claflin', ' bill nighy', ' jack huston']","['comedy', 'drama', 'romance']"
Sully,"title: Sully ,Description: The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",Clint Eastwood,2016,"['tom hanks', ' aaron eckhart', ' laura linney', ' valerie mahaffey']","['biography', 'drama']"
Batman v Superman: Dawn of Justice,"title: Batman v Superman: Dawn of Justice ,Description: Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",Zack Snyder,2016,"['ben affleck', ' henry cavill', ' amy adams', ' jesse eisenberg']","['action', 'adventure', 'sci-fi']"
The Autopsy of Jane Doe,"title: The Autopsy of Jane Doe ,Description: A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.",André Øvredal,2016,"['brian cox', ' emile hirsch', ' ophelia lovibond', ' michael mcelhatton']","['horror', 'mystery', 'thriller']"
The Girl on the Train,"title: The Girl on the Train ,Description: A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.",Tate Taylor,2016,"['emily blunt', ' haley bennett', ' rebecca ferguson', ' justin theroux']","['crime', 'drama', 'mystery']"
Fifty Shades of Grey,"title: Fifty Shades of Grey ,Description: Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",Sam Taylor-Johnson,2015,"['dakota johnson', ' jamie dornan', ' jennifer ehle', 'eloise mumford']","['drama', 'romance', 'thriller']"
The Prestige,"title: The Prestige ,Description: Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.",Christopher Nolan,2006,"['christian bale', ' hugh jackman', ' scarlett johansson', ' michael caine']","['drama', 'mystery', 'sci-fi']"
Kingsman: The Secret Service,"title: Kingsman: The Secret Service ,Description: A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.",Matthew Vaughn,2014,"['colin firth', ' taron egerton', ' samuel l. jackson', 'michael caine']","['action', 'adventure', 'comedy']"
Patriots Day,"title: Patriots Day ,Description: The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",Peter Berg,2016,"['mark wahlberg', ' michelle monaghan', ' j.k. simmons', ' john goodman']","['drama', 'history', 'thriller']"
Mad Max: Fury Road,"title: Mad Max: Fury Road ,Description: A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.",George Miller,2015,"['tom hardy', ' charlize theron', ' nicholas hoult', ' zoë kravitz']","['action', 'adventure', 'sci-fi']"
Wakefield,"title: Wakefield ,Description: A man's nervous breakdown causes him to leave his wife and live in his attic for several months.",Robin Swicord,2016,"['bryan cranston', ' jennifer garner', ' beverly dangelo', 'jason omara']",['drama']
Deepwater Horizon,"title: Deepwater Horizon ,Description: A dramatization of the April 2010 disaster, when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history.",Peter Berg,2016,"['mark wahlberg', ' kurt russell', ' douglas m. griffin', ' james dumont']","['action', 'drama', 'thriller']"
The Promise,"title: The Promise ,Description: Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.",Terry George,2016,"['oscar isaac', ' charlotte le bon', ' christian bale', ' daniel giménez cacho']","['drama', 'history']"
Allied,"title: Allied ,Description: In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",Robert Zemeckis,2016,"['brad pitt', ' marion cotillard', ' jared harris', ' vincent ebrahim']","['action', 'drama', 'romance']"
A Monster Calls,"title: A Monster Calls ,Description: A boy seeks the help of a tree monster to cope with his single mother's terminal illness.",J.A. Bayona,2016,"['lewis macdougall', ' sigourney weaver', ' felicity jones', 'toby kebbell']","['drama', 'fantasy']"
Collateral Beauty,"title: Collateral Beauty ,Description: Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",David Frankel,2016,"['will smith', ' edward norton', ' kate winslet', ' michael peña']","['drama', 'romance']"
Zootopia,"title: Zootopia ,Description: In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Byron Howard,2016,"['ginnifer goodwin', ' jason bateman', ' idris elba', ' jenny slate']","['animation', 'adventure', 'comedy']"
Pirates of the Caribbean: At World's End,"title: Pirates of the Caribbean: At World's End ,Description: Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",Gore Verbinski,2007,"['johnny depp', ' orlando bloom', ' keira knightley', 'geoffrey rush']","['action', 'adventure', 'fantasy']"
The Avengers,"title: The Avengers ,Description: Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.",Joss Whedon,2012,"['robert downey jr.', ' chris evans', ' scarlett johansson', 'jeremy renner']","['action', 'sci-fi']"
Inglourious Basterds,"title: Inglourious Basterds ,Description: In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,2009,"['brad pitt', ' diane kruger', ' eli roth', 'mélanie laurent']","['adventure', 'drama', 'war']"
Pirates of the Caribbean: Dead Man's Chest,"title: Pirates of the Caribbean: Dead Man's Chest ,Description: Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",Gore Verbinski,2006,"['johnny depp', ' orlando bloom', ' keira knightley', ' jack davenport']","['action', 'adventure', 'fantasy']"
Ghostbusters,"title: Ghostbusters ,Description: Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Paul Feig,2016,"['melissa mccarthy', ' kristen wiig', ' kate mckinnon', ' leslie jones']","['action', 'comedy', 'fantasy']"
Inception,"title: Inception ,Description: A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.",Christopher Nolan,2010,"['leonardo dicaprio', ' joseph gordon-levitt', ' ellen page', ' ken watanabe']","['action', 'adventure', 'sci-fi']"
Captain Fantastic,"title: Captain Fantastic ,Description: In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",Matt Ross,2016,"['viggo mortensen', ' george mackay', ' samantha isler', 'annalise basso']","['comedy', 'drama']"
The Wolf of Wall Street,"title: The Wolf of Wall Street ,Description: Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,2013,"['leonardo dicaprio', ' jonah hill', ' margot robbie', 'matthew mcconaughey']","['biography', 'comedy', 'crime']"
Gone Girl,"title: Gone Girl ,Description: With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,2014,"['ben affleck', ' rosamund pike', ' neil patrick harris', 'tyler perry']","['crime', 'drama', 'mystery']"
Furious Seven,"title: Furious Seven ,Description: Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.",James Wan,2015,"['vin diesel', ' paul walker', ' dwayne johnson', ' jason statham']","['action', 'crime', 'thriller']"
Jurassic World,"title: Jurassic World ,Description: A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree.",Colin Trevorrow,2015,"['chris pratt', ' bryce dallas howard', ' ty simpkins', 'judy greer']","['action', 'adventure', 'sci-fi']"
Live by Night,"title: Live by Night ,Description: A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.",Ben Affleck,2016,"['ben affleck', ' elle fanning', ' brendan gleeson', ' chris messina']","['crime', 'drama']"
Avatar,"title: Avatar ,Description: A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.",James Cameron,2009,"['sam worthington', ' zoe saldana', ' sigourney weaver', ' michelle rodriguez']","['action', 'adventure', 'fantasy']"
The Hateful Eight,"title: The Hateful Eight ,Description: In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",Quentin Tarantino,2015,"['samuel l. jackson', ' kurt russell', ' jennifer jason leigh', ' walton goggins']","['crime', 'drama', 'mystery']"
The Accountant,"title: The Accountant ,Description: As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",Gavin O'Connor,2016,"['ben affleck', ' anna kendrick', ' j.k. simmons', ' jon bernthal']","['action', 'crime', 'drama']"
Prisoners,"title: Prisoners ,Description: When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Denis Villeneuve,2013,"['hugh jackman', ' jake gyllenhaal', ' viola davis', 'melissa leo']","['crime', 'drama', 'mystery']"
Warcraft,"title: Warcraft ,Description: As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",Duncan Jones,2016,"['travis fimmel', ' paula patton', ' ben foster', ' dominic cooper']","['action', 'adventure', 'fantasy']"
The Help,"title: The Help ,Description: An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,2011,"['emma stone', ' viola davis', ' octavia spencer', ' bryce dallas howard']",['drama']
War Dogs,"title: War Dogs ,Description: Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",Todd Phillips,2016,"['jonah hill', ' miles teller', ' steve lantz', ' gregg weiner']","['comedy', 'crime', 'drama']"
Avengers: Age of Ultron,"title: Avengers: Age of Ultron ,Description: When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",Joss Whedon,2015,"['robert downey jr.', ' chris evans', ' mark ruffalo', ' chris hemsworth']","['action', 'adventure', 'sci-fi']"
The Nice Guys,"title: The Nice Guys ,Description: In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",Shane Black,2016,"['russell crowe', ' ryan gosling', ' angourie rice', ' matt bomer']","['action', 'comedy', 'crime']"
Kimi no na wa,"title: Kimi no na wa ,Description: Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai,2016,"['ryûnosuke kamiki', ' mone kamishiraishi', ' ryô narita', ' aoi yuki']","['animation', 'drama', 'fantasy']"
The Void,"title: The Void ,Description: Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures.",Jeremy Gillespie,2016,"['aaron poole', ' kenneth welsh', 'daniel fathers', ' kathleen munroe']","['horror', 'mystery', 'sci-fi']"
Personal Shopper,"title: Personal Shopper ,Description: A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.",Olivier Assayas,2016,"['kristen stewart', ' lars eidinger', ' sigrid bouaziz', 'anders danielsen lie']","['drama', 'mystery', 'thriller']"
